step,q1,q2,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
0,-20.0,20.0,3.9686756281298585e-06,-12.437078475952148,0.0014644978800788522,-6.526242733001709,0.0011889159213751554,0.0,0.0,0.0014644978800788522
1,15.0,-15.0,2.9982736577949254e-06,-12.717473983764648,0.001307678292505443,-6.639502048492432,0.000567166949622333,0.0,0.0,0.001307678292505443
2,-6.069054431102668,-14.723127925763878,1.3621976791000634e-07,-15.808996200561523,0.00036765780532732606,-7.908358097076416,0.0005692499689757824,0.0,0.0,0.00036765780532732606
3,-17.922723749127858,-15.0,2.008505134654115e-06,-13.118120193481445,0.0012297076173126698,-6.700978755950928,0.000530540943145752,0.0,0.0,0.00036765780532732606
4,-2.106042576455615,-6.104990952171842,4.6609042669842893e-07,-14.578886032104492,0.0005787845002487302,-7.454580307006836,0.0005431660683825612,0.0,0.0,0.00036765780532732606
5,-7.650920529920859,-7.935429218647164,6.997557733257054e-08,-16.47511863708496,0.00026225962210446596,-8.246175765991211,0.0005141249857842922,0.0,0.0,0.00026225962210446596
6,-7.299629118783969,3.002445290576475,1.6760449739194883e-07,-15.601658821105957,0.0003707092546392232,-7.900092601776123,0.0005282079800963402,0.0,0.0,0.00026225962210446596
7,-9.312409568664835,-11.466294753105208,2.8766996251761157e-07,-15.06145191192627,0.0005120080895721912,-7.577169895172119,0.000539666973054409,0.0,0.0,0.00026225962210446596
8,-5.894197335048103,-4.828360705744184,8.538043516637117e-08,-16.27614974975586,0.0002893539203796536,-8.147859573364258,0.000524790957570076,0.0,0.0,0.00026225962210446596
9,-7.472178596150434,-4.162511029087554,4.038673040440699e-08,-17.024765014648438,0.0001867463142843917,-8.585759162902832,0.0005302499048411846,0.0,0.0,0.0001867463142843917
10,-9.611205558243611,-1.3712671571235526,6.883782077693468e-08,-16.491512298583984,0.00026235415134578943,-8.24581527709961,0.0005077499663457274,0.0,0.0,0.0001867463142843917
11,-8.077660883564667,-2.874833643530557,3.844412788112095e-08,-17.074060440063477,0.00018100500165019184,-8.616986274719238,0.0006285840645432472,0.0,0.0,0.00018100500165019184
12,-7.954524256360421,-3.238414475196964,3.882258425846885e-08,-17.06426429748535,0.00018144361092709005,-8.6145658493042,0.0005714999279007316,0.0,0.0,0.00018100500165019184
13,-8.017686941206339,-3.0953741516006676,3.870414744255868e-08,-17.067319869995117,0.00018129649106413126,-8.615376472473145,0.0005293339490890503,0.0,0.0,0.00018100500165019184
14,-7.991547370256126,-3.1720369350154467,3.878174581473104e-08,-17.06531524658203,0.00018137902952730656,-8.614921569824219,0.0005915409419685602,0.0,0.0,0.00018100500165019184
15,-7.903331057057799,-3.2405195066173347,3.879844712173508e-08,-17.06488609313965,0.0001817343436414376,-8.612964630126953,0.0005787919508293271,0.0,0.0,0.00018100500165019184
16,-7.933292264880835,-3.3142111611830187,3.8909973909539985e-08,-17.062015533447266,0.00018153799464926124,-8.614045143127441,0.0005678329616785049,0.0,0.0,0.00018100500165019184
17,-7.87009625693772,-3.439918661984397,3.902458090010441e-08,-17.05907440185547,0.00018178345635533333,-8.61269474029541,0.0007660000119358301,0.0,0.0,0.00018100500165019184
18,-7.946791712164837,-3.413394390576096,3.912706247888309e-08,-17.05645179748535,0.0001818046293919906,-8.612577438354492,0.0007608339656144381,0.0,0.0,0.00018100500165019184
19,-7.859526198450131,-3.106968615213245,3.883197052800824e-08,-17.064022064208984,0.00018305296543985605,-8.605734825134277,0.0005826250417158008,0.0,0.0,0.00018100500165019184
20,-7.934069268352063,-3.2882619024314543,3.88705885256968e-08,-17.06302833557129,0.00018151450785808265,-8.614174842834473,0.0007241669809445739,0.0,0.0,0.00018100500165019184
21,-7.93293878570263,-3.1132540656986785,3.8658040324435206e-08,-17.068511962890625,0.00018164681387133896,-8.613446235656738,0.0021748750004917383,0.0,0.0,0.00018100500165019184
22,-7.904900146120029,-3.299780006367457,3.8863330331651014e-08,-17.063215255737305,0.00018164562061429024,-8.613452911376953,0.0005781250074505806,0.0,0.0,0.00018100500165019184
23,-7.937229091946417,-3.374477394989659,3.902218281837122e-08,-17.05913543701172,0.0001816422736737877,-8.613471031188965,0.0007677079411223531,0.0,0.0,0.00018100500165019184
24,-7.940051434864941,-3.326499951612448,3.894268019166702e-08,-17.061174392700195,0.000181556650204584,-8.613943099975586,0.0006152089918032289,0.0,0.0,0.00018100500165019184
25,-7.9540044152891936,-3.3769890935829197,3.907480916609529e-08,-17.05778694152832,0.0001817365555325523,-8.61295223236084,0.0006959170568734407,0.0,0.0,0.00018100500165019184
