step,q1,q2,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
0,-20.0,20.0,4.141390490985941e-06,-12.394478797912598,0.0016053441213443875,-6.434417247772217,0.0010762090096250176,0.0,0.0,0.0016053441213443875
1,15.0,-15.0,1.5387460052807e-06,-13.384542465209961,0.001210309797897935,-6.716878890991211,0.0006381249986588955,0.0,0.0,0.001210309797897935
2,15.0,3.803329662040504,8.859550689521711e-06,-11.634014129638672,0.00262667378410697,-5.942037105560303,0.00048150005750358105,0.0,0.0,0.001210309797897935
3,-4.045328560960922,-15.0,5.091428192827152e-06,-12.187952041625977,0.0017714659916236997,-6.3359479904174805,0.0004877919564023614,0.0,0.0,0.001210309797897935
4,-30.0,30.0,2.21820009755902e-05,-10.716229438781738,0.004054150078445673,-5.50801420211792,0.00047774997074157,0.0,0.0,0.001210309797897935
5,-18.6363489015964,9.58937763170986,4.667134362534853e-06,-12.274965286254883,0.0021602073684334755,-6.1375508308410645,0.00046904198825359344,0.0,0.0,0.001210309797897935
6,11.726653979110841,-9.320519121201905,1.4252173059503548e-06,-13.461186408996582,0.001132429693825543,-6.783389568328857,0.0004646669840440154,0.0,0.0,0.001132429693825543
7,6.898548486674924,-15.0,2.1163620544939477e-07,-15.368396759033203,0.00045367571874521673,-7.698127746582031,0.00046962499618530273,0.0,0.0,0.00045367571874521673
8,-9.377716011807127,26.848821467375455,4.8274682740157e-07,-14.543773651123047,0.0006326910224743187,-7.365528583526611,0.0005296249873936176,0.0,0.0,0.00045367571874521673
9,-0.7837651115308563,30.0,5.511642939382e-06,-12.108647346496582,0.002134183421730995,-6.1496710777282715,0.00048808299470692873,0.0,0.0,0.00045367571874521673
10,-10.003443478341055,18.588150351582616,6.848219413768675e-08,-16.496692657470703,0.00023903429973870516,-8.338903427124023,0.0005550840869545937,0.0,0.0,0.00023903429973870516
11,-4.8687885619341005,10.919461614768817,5.262441504783055e-07,-14.457500457763672,0.0007216116064228117,-7.234023571014404,0.0005379170179367065,0.0,0.0,0.00023903429973870516
12,-12.554799454573942,21.52809356894668,4.3874939592569717e-07,-14.639337539672852,0.0005467705195769668,-7.511481285095215,0.0005737090250477195,0.0,0.0,0.00023903429973870516
13,-7.321687656806937,19.22535035150313,1.7057334389392054e-07,-15.584100723266602,0.00033280844218097627,-8.007943153381348,0.0005818329518660903,0.0,0.0,0.00023903429973870516
14,-8.978702256565944,14.86091053779578,1.748117028910201e-07,-15.559556007385254,0.0003925649798475206,-7.842808246612549,0.0008023750269785523,0.0,0.0,0.00023903429973870516
15,-9.230082689526451,19.733518369672282,4.0739411844015194e-08,-17.016069412231445,0.00017259556625504047,-8.664559364318848,0.0005694159772247076,0.0,0.0,0.00017259556625504047
16,3.573245962420884,-6.9500312151529355,7.684502634219825e-07,-14.078889846801758,0.0008762514917179942,-7.039857387542725,0.010047083022072911,0.0,0.0,0.00017259556625504047
17,-9.302074181670957,20.439335531038424,4.993092872496163e-08,-16.812625885009766,0.00021249824203550816,-8.45657730102539,0.0007448750548064709,0.0,0.0,0.00017259556625504047
18,-9.16687073945412,19.585613475845562,4.003179299161275e-08,-17.033592224121094,0.00016701215645298362,-8.697443962097168,0.0005178329301998019,0.0,0.0,0.00016701215645298362
19,-9.129427866005582,19.43778731160761,3.948568760847593e-08,-17.047327041625977,0.00016233851783908904,-8.72582721710205,0.0005054160719737411,0.0,0.0,0.00016233851783908904
20,-9.017773255094932,18.992212857463926,3.9728472955857796e-08,-17.041196823120117,0.00016454946307931095,-8.712299346923828,0.000510375015437603,0.0,0.0,0.00016233851783908904
21,-8.953791182514374,18.962770782471743,4.06608968717137e-08,-17.01799964904785,0.00016641675028949976,-8.70101547241211,0.0005561249563470483,0.0,0.0,0.00016233851783908904
22,-8.976108346510783,18.924410555882456,4.0344239948808536e-08,-17.02581787109375,0.00016721169231459498,-8.696249961853027,0.0007087080739438534,0.0,0.0,0.00016233851783908904
