step,q1,q2,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
0,-20.0,20.0,3.9686756281298585e-06,-12.437078475952148,0.0014644978800788522,-6.526242733001709,0.0007929169805720448,0.0,0.0,0.0014644978800788522
1,13.543980890282274,-15.0,2.5208603346982272e-06,-12.890910148620605,0.0012033178936690092,-6.722672462463379,0.000524875009432435,0.0,0.0,0.0012033178936690092
2,-12.360430928499248,25.15760669675919,2.098652984727778e-08,-17.679384231567383,0.00011957308743149042,-9.031582832336426,0.0005142500158399343,0.0,0.0,0.00011957308743149042
3,-12.47311336661731,26.485641199843577,2.172014035295433e-08,-17.6450252532959,0.00011869507579831406,-9.038952827453613,0.0005074170185253024,0.0,0.0,0.00011869507579831406
4,-12.388330589777306,25.098960932973107,2.0926687938072064e-08,-17.682241439819336,0.00011958514369325712,-9.031481742858887,0.0005093339132145047,0.0,0.0,0.00011869507579831406
5,-12.423308604344106,25.588945751028657,2.1168844455132785e-08,-17.670734405517578,0.00011903730046469718,-9.036073684692383,0.0005439169472083449,0.0,0.0,0.00011869507579831406
6,-12.612625338962358,27.84129524994209,2.2633106055991448e-08,-17.603851318359375,0.00011988078040303662,-9.029012680053711,0.0005811670562252402,0.0,0.0,0.00011869507579831406
7,-12.585183177352475,27.767879937710767,2.2579779823672652e-08,-17.606210708618164,0.00011975887173321098,-9.030030250549316,0.0005616249982267618,0.0,0.0,0.00011869507579831406
8,-12.511775840061823,26.728486363908036,2.1840612873802456e-08,-17.639493942260742,0.0001186528752441518,-9.039308547973633,0.0005597500130534172,0.0,0.0,0.0001186528752441518
9,-12.403788275916265,25.44362267634075,2.109264585214987e-08,-17.674341201782227,0.00011917220399482176,-9.034940719604492,0.002725083031691611,0.0,0.0,0.0001186528752441518
10,-12.556969204181138,27.315946865589307,2.2239841968030305e-08,-17.621379852294922,0.00011907218868145719,-9.035780906677246,0.0006820829585194588,0.0,0.0,0.0001186528752441518
11,-12.401577759370843,25.3712041004258,2.1054368914974475e-08,-17.676156997680664,0.00011924614227609709,-9.034320831298828,0.0006310000317171216,0.0,0.0,0.0001186528752441518
12,-12.425888201606162,25.774512026786972,2.1275177175539284e-08,-17.665725708007812,0.00011889633606187999,-9.03725814819336,0.000782625051215291,0.0,0.0,0.0001186528752441518
