step,q1,q2,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
0,-20.0,20.0,4.141390490985941e-06,-12.394478797912598,0.0016053441213443875,-6.434417247772217,0.0006571249105036259,0.0,0.0,0.0016053441213443875
1,9.904598783522083,-15.0,2.3262016668468277e-07,-15.273859024047852,0.0004685091262217611,-7.665955066680908,0.00043112505227327347,0.0,0.0,0.0004685091262217611
2,-9.233411615901082,19.43448429761063,3.889085675723436e-08,-17.0625057220459,0.00016038678586483002,-8.737922668457031,0.0004253750666975975,0.0,0.0,0.00016038678586483002
3,-9.309420411700742,19.469304181456934,3.907982204509608e-08,-17.057659149169922,0.00016082169895526022,-8.735214233398438,0.00041404087096452713,0.0,0.0,0.00016038678586483002
4,-9.312936774590735,19.467905457172225,3.908743906322343e-08,-17.057464599609375,0.00016078368935268372,-8.735450744628906,0.0004138329531997442,0.0,0.0,0.00016038678586483002
5,-9.31093378886305,19.468504471472937,3.908228407567549e-08,-17.05759620666504,0.00016080001660156995,-8.73534870147705,0.00041016703471541405,0.0,0.0,0.00016038678586483002
6,-9.310910101473622,19.467791899466114,3.9079747438108825e-08,-17.057661056518555,0.0001607822923688218,-8.735459327697754,0.0004153749905526638,0.0,0.0,0.00016038678586483002
7,-9.312154650867182,19.468566050271477,3.908686707632114e-08,-17.057479858398438,0.00016080062778200954,-8.735344886779785,0.00042091705836355686,0.0,0.0,0.00016038678586483002
8,-9.31297079167159,19.468999727528338,3.909133639012907e-08,-17.05736541748047,0.00016081082867458463,-8.735281944274902,0.0004177079536020756,0.0,0.0,0.00016038678586483002
9,-9.311018159384812,19.46972410472993,3.908682089104332e-08,-17.057479858398438,0.00016083057562354952,-8.735158920288086,0.0004159589298069477,0.0,0.0,0.00016038678586483002
10,-9.311418313053244,19.468242267503374,3.908311185796265e-08,-17.057575225830078,0.0001607931189937517,-8.735391616821289,0.00042341696098446846,0.0,0.0,0.00016038678586483002
11,-9.308122248925963,19.467421053436656,3.9068876134251695e-08,-17.057939529418945,0.00016077591862995178,-8.735499382019043,0.00041920808143913746,0.0,0.0,0.00016038678586483002
