step,q1,q2,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
0,-20.0,20.0,4.141390490985941e-06,-12.394478797912598,0.0016053441213443875,-6.434417247772217,0.000636042095720768,0.0,0.0,0.0016053441213443875
1,13.606185782455682,-15.0,1.025643769025919e-06,-13.790189743041992,0.001000092481262982,-6.907662868499756,0.00041454192250967026,0.0,0.0,0.001000092481262982
2,-4.732935990187262,-10.745046397188089,4.179015377303585e-06,-12.385435104370117,0.0015606677625328302,-6.462641716003418,0.0005228330846875906,0.0,0.0,0.001000092481262982
3,-13.159967957709354,30.0,1.5499347227887483e-06,-13.377297401428223,0.0012386997696012259,-6.693693161010742,0.0004384999629110098,0.0,0.0,0.001000092481262982
4,-22.27351973368046,-15.0,3.208571797586046e-05,-10.347099304199219,0.004701100289821625,-5.359958648681641,0.0004282919690012932,0.0,0.0,0.001000092481262982
5,-8.95613517558553,11.7349632006737,4.5624165068147704e-07,-14.60024356842041,0.000585452071391046,-7.443126201629639,0.0004389999667182565,0.0,0.0,0.000585452071391046
6,-10.81653892033816,19.74944165667582,1.248295404820965e-07,-15.896316528320312,0.0002696756855584681,-8.218290328979492,0.0004740830045193434,0.0,0.0,0.0002696756855584681
7,-10.638352207203084,16.368645602218447,2.1924311965904053e-07,-15.333085060119629,0.00046796532114967704,-7.667116165161133,0.0005402079550549388,0.0,0.0,0.0002696756855584681
8,-9.935661376617551,23.424224887981506,1.725883720382626e-07,-15.572356224060059,0.00040655035991221666,-7.807802677154541,0.0005407920107245445,0.0,0.0,0.0002696756855584681
9,-7.805792819987389,2.6679417072377163,1.8381493873675936e-06,-13.206750869750977,0.00105654529761523,-6.852750778198242,0.0005429169395938516,0.0,0.0,0.0002696756855584681
10,-10.25850049179804,20.43172615971411,7.763046738773483e-08,-16.371305465698242,0.00024348843726329505,-8.320441246032715,0.0005933339707553387,0.0,0.0,0.00024348843726329505
11,-10.695912572838996,21.747931637800647,1.3879954963158525e-07,-15.790234565734863,0.00035895913606509566,-7.932301998138428,0.0005887920269742608,0.0,0.0,0.00024348843726329505
12,-9.888598841122617,19.298624345469758,5.39350040185127e-08,-16.73548698425293,0.00018780838581733406,-8.58008861541748,0.000503457966260612,0.0,0.0,0.00018780838581733406
13,-9.533055768112792,19.126728815304606,4.2227377150538814e-08,-16.98019790649414,0.00017031023162417114,-8.677888870239258,0.0005522500723600388,0.0,0.0,0.00017031023162417114
14,-9.44935335796117,19.32355301546328,4.0151519442588324e-08,-17.03060531616211,0.00016156940546352416,-8.730575561523438,0.0005195840494707227,0.0,0.0,0.00016156940546352416
15,3.3912424814137294,-15.0,9.134712968261738e-07,-13.906013488769531,0.0007456433959305286,-7.201262950897217,0.0005181659944355488,0.0,0.0,0.00016156940546352416
16,-9.41988657481647,19.35206038237937,3.9741838264717444e-08,-17.040861129760742,0.00016062133363448083,-8.73646068572998,0.0005342500517144799,0.0,0.0,0.00016062133363448083
17,-9.386085062250299,19.361074598558435,3.936096248935428e-08,-17.050491333007812,0.00015993167471606284,-8.740763664245605,0.000504916999489069,0.0,0.0,0.00015993167471606284
18,-9.37606410405551,19.37752529603736,3.928210645653962e-08,-17.0524959564209,0.0001598289964022115,-8.741406440734863,0.0005806669360026717,0.0,0.0,0.0001598289964022115
19,-9.344847119403132,19.34890423856084,3.898758649256706e-08,-17.060022354125977,0.0001592920598341152,-8.744771003723145,0.000552792102098465,0.0,0.0,0.0001592920598341152
