step,q1,q2,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
0,-20.0,20.0,3.9686756281298585e-06,-12.437078475952148,0.0014644978800788522,-6.526242733001709,0.0010832500411197543,0.0,0.0,0.0014644978800788522
1,-20.74530553702538,1.9449682962202175,3.5901607589039486e-06,-12.537313461303711,0.0015013895463198423,-6.501364231109619,0.0006567910313606262,0.0,0.0,0.0014644978800788522
2,-21.78257081387665,1.9449682962202175,4.244795036356663e-06,-12.369816780090332,0.0016243766294792295,-6.42263126373291,0.0005006249994039536,0.0,0.0,0.0014644978800788522
3,-20.74530553702538,2.0422167110312284,3.595494035835145e-06,-12.535829544067383,0.0015018408885225654,-6.501063823699951,0.00048741709906607866,0.0,0.0,0.0014644978800788522
4,-19.708040260174112,2.0422167110312284,2.9921184250270016e-06,-12.719529151916504,0.001378208282403648,-6.586970806121826,0.0005469999741762877,0.0,0.0,0.001378208282403648
5,-18.670774983322843,2.090840918436734,2.4436810690531274e-06,-12.922004699707031,0.0012541633332148194,-6.681286811828613,0.0005066670710220933,0.0,0.0,0.0012541633332148194
6,-18.670774983322843,1.993592503625723,2.442051027173875e-06,-12.922672271728516,0.0012543021002784371,-6.68117618560791,0.0005490839248523116,0.0,0.0,0.0012541633332148194
7,-16.596244429620306,2.1394651258422392,1.5081640185599099e-06,-13.404617309570312,0.0010045776143670082,-6.903188228607178,0.0005571669898927212,0.0,0.0,0.0010045776143670082
8,-14.521713875917769,2.23671354065325,7.943345963212778e-07,-14.045761108398438,0.0007526383851654828,-7.191925525665283,0.0004775839624926448,0.0,0.0,0.0007526383851654828
9,-14.521713875917769,2.333961955464261,7.920890539026004e-07,-14.048591613769531,0.0007513122400268912,-7.193689346313477,0.0004794580163434148,0.0,0.0,0.0007513122400268912
10,-12.447183322215231,2.5041466813835296,3.0572900300285255e-07,-15.000566482543945,0.0004958605859428644,-7.60921573638916,0.0005705419462174177,0.0,0.0,0.0004958605859428644
11,-8.298122214810157,2.650019303600046,6.5147148120559e-08,-16.54661750793457,0.00025169519358314574,-8.287291526794434,0.0004725829930976033,0.0,0.0,0.00025169519358314574
12,-3.1117958305538167,2.929608496181702,1.2251563248355524e-06,-13.612442016601562,0.0008591910591349006,-7.059519290924072,0.0004744590260088444,0.0,0.0,0.00025169519358314574
13,-6.223591661107619,2.9174524443303254,3.350512258748495e-07,-14.908982276916504,0.00049235561164096,-7.61630916595459,0.00047308404464274645,0.0,0.0,0.00025169519358314574
14,-2.0745305537025445,3.0633250665468417,1.6783656064944807e-06,-13.297690391540527,0.000989035819657147,-6.9187798500061035,0.00047375005669891834,0.0,0.0,0.00025169519358314574
