step,q1,q2,mse,log_mse,mae,log_mae,xopt_runtime,xopt_error,run,best_mae
0,-20.0,20.0,4.141390490985941e-06,-12.394478797912598,0.0016053441213443875,-6.434417247772217,0.018162708962336183,0.0,0.0,0.0016053441213443875
1,-10.810226963487676,20.885273480951696,1.3013375621540035e-07,-15.854702949523926,0.0003169522387906909,-8.05675983428955,0.0005355000030249357,0.0,0.0,0.0003169522387906909
2,-11.35073831166206,20.885273480951696,1.975880365989724e-07,-15.437081336975098,0.00037104132934473455,-7.899197101593018,0.0004409579560160637,0.0,0.0,0.0003169522387906909
3,-10.810226963487676,21.92953715499928,1.5558381960545375e-07,-15.676081657409668,0.0003811027854681015,-7.872441291809082,0.0004547080025076866,0.0,0.0,0.0003169522387906909
4,-11.35073831166206,19.84100980690411,1.9387027805350954e-07,-15.456076622009277,0.00033270285348407924,-8.008260726928711,0.000478541012853384,0.0,0.0,0.0003169522387906909
5,-10.810226963487676,19.84100980690411,1.2377161340282328e-07,-15.904828071594238,0.0002679131575860083,-8.224847793579102,0.00045066699385643005,0.0,0.0,0.0002679131575860083
6,-10.539971289400484,19.31887796988032,9.978467119253764e-08,-16.120250701904297,0.0002552106452640146,-8.273421287536621,0.0006269579753279686,0.0,0.0,0.0002552106452640146
7,-9.9994599412261,20.363141643927904,6.244560779578023e-08,-16.588970184326172,0.00022264070867095143,-8.409951210021973,0.000656625023111701,0.0,0.0,0.00022264070867095143
8,-9.323820756008118,20.6242075624398,5.3503363517393154e-08,-16.743520736694336,0.00022362673189491034,-8.405531883239746,0.0005233329720795155,0.0,0.0,0.00022264070867095143
9,-9.729204267138908,18.796746132856526,5.1199112505173616e-08,-16.78754425048828,0.00020059460075572133,-8.514225006103516,0.0004939590580761433,0.0,0.0,0.00020059460075572133
10,-9.188692918964524,17.75248245880894,5.414295856098761e-08,-16.731637954711914,0.00022998996428214014,-8.377474784851074,0.0004963329993188381,0.0,0.0,0.00020059460075572133
11,-9.188692918964524,19.84100980690411,4.207435111425184e-08,-16.983827590942383,0.00017946778098121285,-8.62551498413086,0.0004898749757558107,0.0,0.0,0.00017946778098121285
12,-8.513053733746546,20.102075725416007,7.083529141027611e-08,-16.462907791137695,0.00024282687809318304,-8.323162078857422,0.00048204197082668543,0.0,0.0,0.00017946778098121285
13,-8.918437244877332,18.274614295832734,4.484925852921151e-08,-16.919958114624023,0.00019719652482308447,-8.531310081481934,0.0005423750262707472,0.0,0.0,0.00017946778098121285
14,-8.377925896702948,19.31887796988032,6.565196741803447e-08,-16.538898468017578,0.00020837542251683772,-8.47616958618164,0.0006961660692468286,0.0,0.0,0.00017946778098121285
15,-9.391384674529917,18.927279092112475,4.053247337765242e-08,-17.021162033081055,0.00017256001592613757,-8.664765357971191,0.0004926250549033284,0.0,0.0,0.00017256001592613757
16,-9.661640348617109,20.493674603183848,5.313103912385486e-08,-16.750505447387695,0.0002163501048926264,-8.438612937927246,0.00107849994674325,0.0,0.0,0.00017256001592613757
17,-9.104238020812275,18.829379372670513,3.9418669217639035e-08,-17.049026489257812,0.00017030048184096813,-8.677946090698242,0.0004996249917894602,0.0,0.0,0.00017030048184096813
18,-9.306929776377668,17.915648657878876,5.27811323536298e-08,-16.757112503051758,0.00022540157078765333,-8.397626876831055,0.00047974998597055674,0.0,0.0,0.00017030048184096813
19,-9.21825213331781,19.359669519647802,3.8674894398127435e-08,-17.06807518005371,0.0001590828615007922,-8.746085166931152,0.0005788329290226102,0.0,0.0,0.0001590828615007922
20,-8.93110547960017,19.261769800205837,4.174057721684221e-08,-16.991792678833008,0.0001648443576414138,-8.710508346557617,0.0015675839968025684,0.0,0.0,0.0001590828615007922
21,-9.045119592105706,19.792059947183123,4.362550143355293e-08,-16.94762420654297,0.00018224689119961113,-8.610148429870605,0.0004908749833703041,0.0,0.0,0.0001590828615007922
22,-9.089458413635633,19.070049516298667,3.896709088735406e-08,-17.060548782348633,0.00016180686361622065,-8.729106903076172,0.00047633296344429255,0.0,0.0,0.0001590828615007922
23,-9.376605067353275,19.167949235740632,3.936297332529648e-08,-17.050439834594727,0.0001624839787837118,-8.724930763244629,0.0004494159948080778,0.0,0.0,0.0001590828615007922
24,-9.265230170414998,19.19140437685693,3.850596286270047e-08,-17.072452545166016,0.00015964815975166857,-8.742538452148438,0.00047320802696049213,0.0,0.0,0.0001590828615007922
25,-9.394023890097174,19.481024380206065,3.966125916576857e-08,-17.042890548706055,0.00016148967551998794,-8.731069564819336,0.00044445903040468693,0.0,0.0,0.0001590828615007922
26,-9.317882520981788,19.378280664229216,3.886768595862122e-08,-17.06310272216797,0.00015922688180580735,-8.745180130004883,0.00046150002162903547,0.0,0.0,0.0001590828615007922
27,-9.2709044838846,19.546545807020088,3.9351640168661106e-08,-17.05072784423828,0.0001634718501009047,-8.718870162963867,0.0005817499477416277,0.0,0.0,0.0001590828615007922
